CO2,Year
399,2019
402,2020
405,2021
409,2022
412,2023
415,2024
419,2025
422,2026
426,2027
430,2028
434,2029
438,2030
442,2031
446,2032
450,2033
455,2034
460,2035
464,2036
469,2037
474,2038
479,2039
485,2040
490,2041
496,2042
501,2043
507,2044
513,2045
519,2046
525,2047
532,2048
538,2049
546,2050
552,2051
559,2052
566,2053
574,2054
582,2055
589,2056
597,2057
606,2058
615,2059
623,2060
632,2061
641,2062
650,2063
660,2064
669,2065
679,2066
689,2067
699,2068
710,2069
720,2070
731,2071
742,2072
754,2073
765,2074
777,2075
788,2076
800,2077
813,2078
825,2079
837,2080
850,2081
863,2082
876,2083
888,2084
901,2085
915,2086
928,2087
941,2088
954,2089
967,2090
980,2091
994,2092
1007,2093
1021,2094
1033,2095
1047,2096
1060,2097
1074,2098
1087,2099
1100,2100
