CO2,Year
486,2040
491,2041
497,2042
502,2043
507,2044
512,2045
516,2046
520,2047
525,2048
529,2049
533,2050
536,2051
539,2052
543,2053
545,2054
548,2055
550,2056
551,2057
552,2058
553,2059
554,2060
554,2061
554,2062
554,2063
554,2064
553,2065
553,2066
552,2067
550,2068
549,2069
548,2070
546,2071
544,2072
542,2073
540,2074
538,2075
536,2076
534,2077
532,2078
530,2079
528,2080
525,2081
523,2082
521,2083
519,2084
516,2085
514,2086
512,2087
509,2088
507,2089
505,2090
502,2091
500,2092
498,2093
496,2094
493,2095
491,2096
489,2097
487,2098
484,2099
482,2100
