Year,SSP5-85,SSP5-85-15
2020,4256685056,4256685056
2021,4567404032,4567404032
2022,4594169856,4705595904
2023,4375926272,4633064448
2024,4620140544,4458857472
2025,4603600384,4971902464
2026,4488149504,4752700928
2027,4560637952,5057075200
2028,4580177408,5138507264
2029,4568405504,5093637120
2030,4865282048,5093578752
2031,5011482624,5303392256
2032,4860499968,5646160384
2033,4867105280,4984392192
2034,5004902400,5138254336
2035,4869370368,5309323264
2036,5188311040,5841461760
2037,4869779968,5334708224
2038,5241047552,5027967488
2039,4791925248,5519789568
2040,4910811136,5815539712
2041,5010917376,6012796928
2042,5267157504,5985032192
2043,5065365504,5790747648
2044,5016416256,5764953600
2045,5222068736,5634127872
2046,4753080320,5989582848
2047,5348461056,5919919616
2048,5482195968,6182227456
2049,5721988096,6329795584
2050,5303277056,6193719296
2051,5287710720,6013437440
2052,4832128000,6141080576
2053,5629197312,6457976320
2054,5689174016,6340036608
2055,5445335040,6427097088
2056,5382471680,6535421952
2057,5364481024,6633966080
2058,5338171904,6223814656
2059,5291174400,6168601600
2060,5388298752,6549188096
2061,5395727872,7113863680
2062,5365971456,6762937856
2063,5981765120,6595788800
2064,5786212352,7018900992
2065,5457234432,6851102720
2066,5585383424,7286943232
2067,5633668096,7044055040
2068,5835697664,7296575488
2069,5482186752,7264327680
2070,5592119296,7137106944
2071,5451986944,6829856768
2072,5590787072,6616073216
2073,5803123712,7179215872
2074,5999839232,7633845760
2075,5922356224,7710541824
2076,5773870080,7673887744
2077,5715532800,7555136512
2078,5744540672,7535003648
2079,5599241216,7420411904
2080,5452280832,7665331200
2081,5764492800,7829225984
2082,5402878976,7839049728
2083,5778827776,7907446272
2084,5820308992,7773167616
2085,5497971200,7782282240
2086,5173632000,7776326144
2087,5896748032,8038200320
2088,6079980544,7670434304
2089,6151506944,7779170304
2090,5845982720,8115185152
2091,6067925504,8329729024
2092,5598186496,8429948416
2093,5597613568,8119054848
2094,5874293760,8206507008
2095,5393883648,8242484224
2096,5475628032,8042480640
2097,5810733568,8262721024
2098,5522085888,8271980032
2099,5363359744,7784537088
2100,5856459264,8090397696
